Suburb,Longitude,Latitude,Area
Coolaroo,144.9345697,-37.65675531,3.945105323
Cottles Bridge,145.2231859,-37.6070962,23.27149684
Craigieburn,144.9401653,-37.57273497,44.56661869
Cranbourne,145.27568,-38.10686101,16.55272467
Cranbourne East,145.3422291,-38.10445718,54.51361877
Cranbourne North,145.2988136,-38.07747037,12.99790588
Cranbourne South,145.2531497,-38.15676939,23.61072742
Cranbourne West,145.2483968,-38.10174456,16.34825428
Cremorne,144.9927935,-37.82907233,0.858330037
Crib Point,145.2028955,-38.35235496,8.309952653
Croydon,145.2844387,-37.79517002,17.93595535
Croydon Hills,145.2671004,-37.77592624,2.845867662
Croydon North,145.2839111,-37.77185475,5.071556431
Croydon South,145.2736324,-37.81499099,2.636323624
Dales Creek,144.3029432,-37.52186707,2.609616676
Dallas,144.9354151,-37.67080621,3.072203036
Dandenong,145.2122138,-37.98467956,14.16150709
Dandenong North,145.214376,-37.95584645,11.98808651
Dandenong South,145.218859,-38.020704,28.84052962
Darley,144.4033252,-37.64684451,65.52712027
Darraweit Guim,144.869738,-37.42249403,90.38466171
Deepdene,145.0664087,-37.81210294,1.328553721
Deer Park,144.7712837,-37.76866744,10.18771215
Delahey,144.7772709,-37.7197936,4.405162168
Derrimut,144.7760721,-37.79877919,16.81428173
Devon Meadows,145.3154255,-38.19137841,48.93376044
Dewhurst,145.4669182,-37.98007193,8.609412473
Diamond Creek,145.1586468,-37.6669378,24.97417428
Diggers Rest,144.6976281,-37.62077733,85.48681595
Dingley Village,145.1244427,-37.98771711,20.65348196
Dixons Creek,145.4281543,-37.5868968,66.65627229
Docklands,144.9402603,-37.81808533,3.811047049
Don Valley,145.5922673,-37.73633322,19.03067972
Doncaster,145.1239002,-37.78488759,11.10670112
Doncaster East,145.1639358,-37.77889275,14.07838342
Donvale,145.1914194,-37.78979355,14.7171072
Doreen,145.1431232,-37.59689133,40.68336802
Doveton,145.2382628,-37.98896076,5.298183699
Dromana,145.0103266,-38.33197437,38.54051543
Eaglemont,145.0636743,-37.76376262,2.751212806
East Melbourne,144.9819005,-37.81285604,1.774374345
East Warburton,145.7940488,-37.76400141,108.3888915
Eden Park,145.0716816,-37.4976859,36.08274275
Edithvale,145.1148991,-38.03756035,2.638937545
Elsternwick,145.0070035,-37.88583997,3.292669372
Eltham,145.1593589,-37.71771316,20.62745173
Eltham North,145.1424324,-37.69773854,5.385442269
Elwood,144.9855043,-37.88095098,3.243856944
