,Suburb,Longitude,Latitude,Closest Shopping Mall,Distance to Shopping Mall,Closest Museum,Distance to Museum,Closest Zoo,Distance to Zoo
62,braeside,145.11740769999997,-38.01230799,Parkdale Plaza,3.3653522934934164,Australian National Aviation Museum,4.5992738153829,,
63,braybrook,144.8548475,-37.78667946,Central West Shopping Centre,0.9316676029593767,Victorian Archives Centre,7.7926646929200185,Melbourne Zoo,8.612643744274175
64,briar hill,145.1210081,-37.70617353,Greensborough Plaza,1.6802198514513826,,,,
65,brighton,144.99581909999998,-37.90821741,Dendy Plaza,0.5887565691954877,National Herbarium,8.766753627543997,,
66,brighton east,145.0164216,-37.91721217,Dendy Plaza,2.0990752538838677,Australian National Aviation Museum,9.319645755429404,,
67,broadmeadows,144.9324214,-37.68329581,Olsen Place Shopping Centre,0.8558442966903026,,,,
68,brookfield,144.5405175,-37.69938654,Woodgrove Shopping Centre,2.542334532095225,,,,
69,brooklyn,144.8415313,-37.8160825,Altona Gate Shopping Centre,1.4094625364388156,Seaworks,7.8008652901052375,,
70,brunswick,144.96127380000001,-37.7664412,Barkly Square Shopping Centre,1.0277786800746056,Melbourne Museum,4.212930653383303,Melbourne Zoo,2.147729861736959
71,brunswick east,144.97770219999998,-37.76887935,Barkly Square Shopping Centre,1.5730214292973579,Melbourne Museum,3.877308612265551,Melbourne Zoo,2.8126118593546603
72,brunswick west,144.94256289999998,-37.76331698,Union Square Shopping Centre,1.153027566383962,Melbourne Museum,5.144320528839585,Melbourne Zoo,2.5135256448536882
73,bulla,144.7910215,-37.63526552,Watergardens Shopping Center,7.217542577796948,,,,
74,bulleen,145.0871969,-37.7689391,Bulleen Plaza,0.66422236923591,,,,
75,bullengarook,144.4964113,-37.476389000000005,The Village Gisborne,8.282837580994267,,,,
76,bundoora,145.0596722,-37.69830292,Bundoora Square,0.18610014369536743,,,,
77,burnley,145.01736359999998,-37.82959784,Trak Centre,1.4547977128419067,National Sports Museum,3.1394662908556974,,
78,burnside,144.75299669999998,-37.74941781,Burnside Hub Shopping Centre,1.0700655066367888,,,,
79,burnside heights,144.75554780000002,-37.73246194,Watervale Shopping Centre,1.0671861265935558,,,,
