,Suburb,Longitude,Latitude,Closest Bus Station,Distance to Bus Station,Closest Train Station,Distance to Train Station,Closest Tram Station,Distance to Tram Station
47,beveridge,145.01338230000002,-37.47983293,Ned Kelly Junction,5.866407108844614,Donnybrook Station,7.908743310696355,,
48,bittern,145.1778583,-38.33740839,,,Hastings station,3.6087171468653554,,
49,black rock,145.0229273,-37.970517,Westfield  Southland Bus Interchange,3.0318802898452253,Southland Station,2.6497711671535304,,
50,blackburn,145.1522675,-37.82170489,Box Hill Bus Station,2.6431633403534143,Blackburn Station,0.25677737777892795,,
51,blackburn north,145.1542685,-37.80537507,Eastern Fwy/M'borough Rd Bus Stop,1.3277024309582595,Blackburn Station,1.669508151726714,,
52,blackburn south,145.14651980000002,-37.83937097,767 Bus Stop In Front Of Deakin,3.0052538399755404,Blackburn Station,2.1670069204173834,,
53,blairgowrie,144.7722206,-38.36871970000001,Bus to Conti!,6.926903749988126,,,,
54,blind bight,145.3377059,-38.21424714,,,,,,
55,bonbeach,145.12751210000002,-38.06316018,Kananook Station Bus Stop,6.4740455787742235,Bonbeach Station,0.6821023894053961,,
56,boneo,144.9043916,-38.43123904,Bus Stop 13175,9.455440633276702,,,,
57,boronia,145.2859284,-37.85631765,Knox City Bus Interchange,4.391049150546156,Boronia Station,0.47301556696721,,
58,botanic ridge,145.26841430000002,-38.13920514,,,Cranbourne Station,4.485377983517161,,
59,box hill,145.1261178,-37.82152715,Box Hill Bus Station,0.40863005995173723,Box Hill Station,0.4377642910871912,Tram Stop 29,8.849140791404876
60,box hill north,145.1295707,-37.80563252,Eastern Fwy/M'borough Rd Bus Stop,1.3109005527423894,Box Hill Station,1.6523849780795599,,
61,box hill south,145.1233062,-37.83661171,Bus Stop Uganda Street,1.4371733281849575,Box Hill Station,1.928148959697587,,
62,braeside,145.11740769999997,-38.01230799,Westfield  Southland Bus Interchange,8.269417315709443,Aspendale Station,2.128347162790744,,
63,braybrook,144.8548475,-37.78667946,Sunshine Bus Interchange,1.964061357877618,Tottenham Station,1.5841891255072236,Tram Stop D18,8.546576748521163
64,briar hill,145.1210081,-37.70617353,Main Street Bus Stops,1.2899830235586958,Montmorency Station,1.0347859468219232,,
65,brighton,144.99581909999998,-37.90821741,Bus Interchange - Moorabbin Station,4.6908314794158015,North Brighton Station,0.7286863546125942,Tram Stop 139,4.5794909377437385
66,brighton east,145.0164216,-37.91721217,Bus Interchange - Moorabbin Station,2.6871079424785993,Middle Brighton Railway Station,1.7739209029148222,Tram Stop 139,6.2452686841473986
67,broadmeadows,144.9324214,-37.68329581,Broadmeadows Station Bus Interchange,1.1855101585925425,Broadmeadows Station,1.1350251038260613,,
68,brookfield,144.5405175,-37.69938654,Woodgrove Bus Stop,2.6391697344844833,Melton Station,2.830787154628357,,
69,brooklyn,144.8415313,-37.8160825,Sunshine Bus Interchange,3.276946534721521,Tottenham Station,2.682866774733885,Tram Stop D18,8.847502992785357
70,brunswick,144.96127380000001,-37.7664412,Bus Stop 2463,2.8440580075176807,Brunswick Station,0.1284866139256266,Tram Stop 8 - Melbourne Central Station/State Library,4.842269104047027
71,brunswick east,144.97770219999998,-37.76887935,Clifton Hill Interchange,2.395310355171591,Northcote Station,1.5567298837946224,Tram Stop 8 - Melbourne Central Station/State Library,4.719257277855162
72,brunswick west,144.94256289999998,-37.76331698,Tram Stop 37,1.5445426617187852,Brunswick Station,1.5767141541249028,Tram Stop 8 - Melbourne Central Station/State Library,5.5195211535701505
73,bulla,144.7910215,-37.63526552,SkyBus T2/T3/T4 Bus Stop,6.4665864336164995,Watergardens Station,7.450807832174634,,
74,bulleen,145.0871969,-37.7689391,Bulleen Terminus,1.1068514884590164,Heidelberg Station,2.6664471480750227,Tram Stop 29,8.450819002862449
75,bullengarook,144.4964113,-37.476389000000005,Bus Stop,8.50046338024392,Macedon Station,8.28555871813744,,
76,bundoora,145.0596722,-37.69830292,Latrobe Bus Interchange,2.5068393524183135,Watsonia Station,2.547233362512295,,
77,burnley,145.01736359999998,-37.82959784,Federation Square Bus Depot,4.386137308079955,Burnley Station,0.886814857779905,Tram Stop 29,0.7855916701584661
78,burnside,144.75299669999998,-37.74941781,Keilor Plains Station,4.20944805920434,Caroline Springs Station,2.21463385417011,,
79,burnside heights,144.75554780000002,-37.73246194,Keilor Plains Station,3.390753222134612,Watergardens Station,3.8492695576141407,,
80,burwood,145.1113815,-37.84955131,Bus Stop Uganda Street,0.6276226167480272,Jordanville Station,2.670993513870227,Tram Stop 29,7.913037046162472
81,burwood east,145.150426,-37.85360796,Glen Waverley Bus Interchange,3.0608276874180214,Syndal Station,2.5277888535551845,,
82,cairnlea,144.7878556,-37.75931183,Alfrieda Street Bus Terminus,2.0683867072568383,St Albans Station,1.9280493154053078,,
83,calder park,144.76112849999998,-37.67626449,Keilor Plains Station,6.605785390955184,Watergardens Station,2.9695928207921214,,
84,camberwell,145.074021,-37.83844443,Bus Stop Uganda Street,3.2192989466207824,Hartwell Station,0.6710220449185499,Tram Stop 29,4.407425677467585
85,campbellfield,144.9595282,-37.66416091,Broadmeadows Station Bus Interchange,4.134637243505456,Upfield Station,1.1565446058308093,,
86,cannons creek,145.31122299999998,-38.21141603,,,,,,
87,canterbury,145.075725,-37.8242982,Bus Stop Uganda Street,3.7213356046263946,Canterbury Station,0.4822119589723386,Tram Stop 29,4.401917013172162
88,cape schanck,144.8908892,-38.46660994,,,,,,
89,cardinia,145.42026030000002,-38.12494385,,,Cardinia Road Station,6.183064110136904,,
90,carlsruhe,144.5275384,-37.27213625,,,Kyneton Train Station,6.973646748669784,,
91,carlton,144.9683986,-37.80042084,Federation Square Bus Depot,1.8442970574150157,Melbourne Central Station,1.1954107671284033,Tram Stop 8 - Melbourne Central Station/State Library,1.1289468810374255
92,carlton north,144.9684834,-37.78660249,Clifton Hill Interchange,2.2604119542079504,Tram Stop 115 (melbourne general cemetary east),0.31794025187986313,Tram Stop 8 - Melbourne Central Station/State Library,2.6262567764505027
93,carnegie,145.05589740000002,-37.89337797,SmartBus Terminus Caulfield Station,2.100689755750722,Carnegie Station,0.8112338576328689,,
94,caroline springs,144.7371786,-37.7346079,Keilor Plains Station,5.025489877738352,Caroline Springs Station,3.5090485655192416,,
95,carrum,145.12796409999999,-38.07678058,Kananook Station Bus Stop,4.967631548244557,Carrum Station,0.5179746266134839,,
96,carrum downs,145.17581059999998,-38.09279941,Kananook Station Bus Stop,4.756526597749909,Seaford Station,4.358528158319157,,
97,castella,145.41852619999997,-37.52140952,Bus Stop 23440,5.4007196773459505,,,,
98,catani,145.65187949999998,-38.19460778,,,,,,
99,caulfield,145.0263306,-37.88405501,SmartBus Terminus Caulfield Station,1.657653474299171,Glenhuntly Station,1.5272584125518898,Tram Stop 29,6.27626244412089
100,caulfield east,145.0419658,-37.88130137,SmartBus Terminus Caulfield Station,0.4500307112562458,Caulfield Station,0.4481491592994945,Tram Stop 29,6.135835735772575
101,caulfield north,145.02158290000003,-37.87204613,SmartBus Terminus Caulfield Station,1.9891921356138331,Malvern Station,0.9278239137166522,Tram Stop 29,4.957740403684494
102,caulfield south,145.0249225,-37.89466808,SmartBus Terminus Caulfield Station,2.5035770076950827,Glenhuntly Station,1.5919070683328422,Tram Stop 29,7.454620024645176
103,chadstone,145.1000823,-37.88234746,Chadstone Bus Interchange,1.5704493819968488,Holmesglen Station,1.1974536014749921,,
104,chelsea,145.1213299,-38.049758399999995,Kananook Station Bus Stop,8.019104600228811,Chelsea Station,0.525797975636904,,
105,chelsea heights,145.13422260000002,-38.04090061,Dandenong Station Bus Interchange,8.736528356187499,Chelsea Station,2.0178863897320736,,
106,cheltenham,145.06155049999998,-37.96342158,Westfield  Southland Bus Interchange,0.9587573273148216,Cheltenham Station,0.710068785121308,,
