,Suburb,Longitude,Latitude,Closest Bus Station,Distance to Bus Station,Closest Train Station,Distance to Train Station,Closest Tram Station,Distance to Tram Station
218,hastings,145.1840529,-38.29679517,,,Hastings station,0.98555944895783,,
219,hawthorn,145.0317055,-37.82446802,Clifton Hill Interchange,5.3952002290629,Glenferrie Station,0.527391408513103,Tram Stop 29,0.613301118802561
220,hawthorn east,145.0499684,-37.8313479,SmartBus Terminus Caulfield Station,5.142117397500134,Camberwell Station,0.9034566999096664,Tram Stop 29,2.1621326631675473
221,healesville,145.5487134,-37.62388649,,,Yarra Valley Railway,4.8708772456747695,,
222,heath hill,145.6868271,-38.26395695,,,Nyora Station - South Gippsland Railway,7.805732771616433,,
223,heathcote junction,145.0420908,-37.38174904,,,Heathcote Junction Station,1.721333532342572,,
224,heatherton,145.0931863,-37.95609837,Westfield  Southland Bus Interchange,3.502036105376169,Cheltenham Station,3.5814648850302273,,
225,heathmont,145.2439414,-37.83068086,Ringwood Bus Terminal,1.533118040067642,Heathmont Station,0.26753602791450926,,
226,heidelberg,145.06975880000002,-37.75252137,Bulleen Terminus,3.271926422553108,Heidelberg Station,0.9365147292401065,,
227,heidelberg heights,145.0528022,-37.74543796,Bulleen Terminus,4.948146054494426,Rosanna Station,1.205864152224341,,
228,heidelberg west,145.04357819999998,-37.73811937,Bulleen Terminus,6.078389850670379,Rosanna Station,2.0482338574340226,,
229,hesket,144.65570269999998,-37.35156834,,,,,,
230,highett,145.0397814,-37.95040404,Westfield  Southland Bus Interchange,1.443660608721938,Highett Station,0.2874748260832251,,
231,hillside,144.74170800000002,-37.69047142,Keilor Plains Station,6.340551737097356,Watergardens Station,3.0736177468711436,,
232,hmas cerberus,145.1982325,-38.38108731,,,Crib Point Station,1.79126136221144,,
233,hoddles creek,145.60474519999997,-37.86395331,Cairncroft Avenue Bus Stop,9.802488647054357,Yarra Junction Station,9.675424901990201,,
234,hopetoun park,144.5015861,-37.69500792,Woodgrove Bus Stop,5.652173066705205,Bacchus Marsh Station,5.6820972849135405,,
235,hoppers crossing,144.6952468,-37.86665147,Werribee Station Bus Interchange,4.688468017489457,Hoppers Crossing Station,1.9080700716312646,,
236,hughesdale,145.0811666,-37.89950728,Oakleigh Station Bus Interchange,0.6219347989791705,Hughesdale Station,0.6110132208929459,,
237,humevale,145.1928073,-37.50227622,Strathy Bus Stop,8.320147655450585,,,,
238,huntingdale,145.10846919999997,-37.90765023,Princes Hwy Bus Stop Id 1549 McD,1.7042177788971749,Huntingdale Station,0.6223841902858464,,
239,hurstbridge,145.1943595,-37.63756021,,,Hurstbridge Railway Sidings,0.29006161208240916,,
240,ivanhoe,145.0430782,-37.76901265,Clifton Hill Interchange,4.70911582210372,Ivanhoe Station,0.21327471736273607,Tram Stop 29,6.666915560333984
241,ivanhoe east,145.0618332,-37.77338176,Bulleen Terminus,3.3571043563611527,Ivanhoe Station,1.5276504057878015,Tram Stop 29,6.790774795551062
242,jacana,144.91114,-37.68785582,Broadmeadows Station Bus Interchange,0.8873080241194264,Jacana Station,0.9077731235449515,,
243,junction village,145.29685969999997,-38.13632948,,,Cranbourne Station,4.250204765912848,,
244,kallista,145.41170019999998,-37.90120467,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),5.063682900173531,Menzies Creek Puffing Billy Station,2.2531702366508526,,
245,kalorama,145.372108,-37.8193901,Lilydale Station Bus Terminus,7.319428475601865,"mooroolbark station, platform 1",6.499681484760701,,
246,kangaroo ground,145.2316915,-37.68915635,The Pines Bus Interchange,9.903776863282726,Wattle Glen Station,5.201951950060488,,
247,kealba,144.8283059,-37.73713376,Alfrieda Street Bus Terminus,2.546805395145928,St Albans Station,2.65895900654263,,
248,keilor,144.8250259,-37.71133462,Keilor Plains Station,3.4272317355468562,St Albans Station,4.324788857038801,,
249,keilor downs,144.8047536,-37.72061845,Keilor Plains Station,1.3996363199378783,St Albans Station,2.7096810772319553,,
250,keilor east,144.8560985,-37.73837163,Keilor Plains Station,5.567681477654002,Ginifer Station,4.614108500081256,,
251,keilor lodge,144.79974909999999,-37.69838999,Keilor Plains Station,3.524202087754399,Watergardens Station,2.2947826452654514,,
252,keilor north,144.7930147,-37.68161742,SkyBus T2/T3/T4 Bus Stop,5.044879598469445,Watergardens Station,2.7318368178142958,,
253,keilor park,144.85089630000002,-37.71870659,Long Term Car Park Bus Shelter E,4.6032878765918746,St Albans Station,5.3575923750718175,,
254,kensington,144.927044,-37.79435472,Moonee Ponds Junction Bus Stop,3.0890074316365905,Kensington Station,0.30238189962309264,Tram Stop D18,3.2127578865947584
255,kew,145.0333005,-37.80336402,Clifton Hill Interchange,3.9474753200486137,Glenferrie Station,2.035310884996629,Tram Stop 29,2.758324548595975
256,kew east,145.05277180000002,-37.79043115,Doncaster Park And Ride,4.593398745814311,Alphington Station,2.328891230939561,Tram Stop 29,4.747726230554493
257,keysborough,145.1673378,-38.00538047,Dandenong Station Bus Interchange,4.112258748103024,Yarraman Station,3.726117562060678,,
258,kilmore,144.92748909999997,-37.30610891,,,Kilmore East Station,5.157628150819548,,
259,kilmore east,145.0112212,-37.27827620000001,,,Kilmore East Station,2.9884178915901978,,
260,kilsyth,145.3172159,-37.81446087,Lilydale Station Bus Terminus,6.942982478010046,"mooroolbark station, platform 1",3.3044508365572094,,
261,kilsyth south,145.3109853,-37.83149559,Ringwood Bus Terminal,7.400314896936536,Bayswater Station,3.9373141540345196,,
262,kinglake,145.3459562,-37.55270448,Strathy Bus Stop,6.9836837725372565,,,,
263,kinglake central,145.35234780000002,-37.46980278,Kinglake West Vline Bus Stop,8.986562063091794,,,,
264,kinglake west,145.2485439,-37.50305436,Strathy Bus Stop,5.281660671413027,,,,
265,kings park,144.7719496,-37.73371641,Keilor Plains Station,1.98033946712572,St Albans Station,2.7313700787488693,,
266,kingsbury,145.033807,-37.71610538,Latrobe Bus Interchange,0.893226557260795,Ruthven Station,2.3257228421483265,,
267,kingsville,144.8793757,-37.80887184,Yarraville Bus Depot,1.1921229187588136,West Footscray Station,0.944155489678199,Tram Stop D18,5.657484447168433
268,knoxfield,145.2496398,-37.88976687,Ferntree Gully Road,1.8324296537886766,Ferntree Gully Station,4.11181032184705,,
269,koo wee rup,145.4732544,-38.18682373,Koo Wee Rup Clock Tower,2.0537369435502595,,,,
270,kooyong,145.035788,-37.84138216,SmartBus Terminus Caulfield Station,4.04606093664243,Tooronga Station,1.0400396659958122,Tram Stop 29,1.7691586183229233
271,korobeit,144.3314666,-37.5156278,,,,,,
272,kurunjang,144.5904612,-37.66414422,Woodgrove Bus Stop,3.26828954397649,Melton Station,4.633147034272744,,
273,lalor,145.0039617,-37.66296949,Bus Stop 10838,3.649768731298902,Lalor Station,1.2256680848829087,,
274,lancefield,144.702143,-37.25281514,,,,,,
275,langwarrin,145.1974007,-38.15454015,フランクストン駅バスターミナル (Frankston Station Bus Interchange),6.413373185461489,Leawarra Station,5.082421161960091,,
276,langwarrin south,145.1910016,-38.18903518,フランクストン駅バスターミナル (Frankston Station Bus Interchange),7.688422808822662,Somerville Station,4.240206748707262,,
277,launching place,145.5699449,-37.77517113,Cairncroft Avenue Bus Stop,0.8043231735455442,Yarra Junction Station,2.8868300180629665,,
278,laverton,144.7735408,-37.85704829,Sunshine Bus Interchange,9.31257327870427,Laverton Station,0.7576683113735492,,
279,laverton north,144.787153,-37.83002294,Sunshine Bus Interchange,6.1925462597297924,Laverton Station,3.97088816743998,,
280,lilydale,145.3678294,-37.75562323,Lilydale Station Bus Terminus,1.8410802197262317,Lilydale Station,1.8067081493291761,,
281,long forest,144.50696010000001,-37.65579365,Woodgrove Bus Stop,6.025762815997751,Bacchus Marsh Station,7.055089144327815,,
282,lower plenty,145.1162813,-37.73876586,Bulleen Terminus,3.758660497474346,Meadmore Junction Platform,2.350516036123147,,
283,lynbrook,145.2561533,-38.05586176,Fountain Gate Bus Interchange,5.784289318681101,Lynbrook Station,0.749287859230139,,
284,lyndhurst,145.24939730000003,-38.06952181,Fountain Gate Bus Interchange,7.29779639804988,Lynbrook Station,1.3991872734410655,,
285,lysterfield,145.29083119999999,-37.92700265,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),5.971657465230486,Upper Ferntree Gully Station,4.092823886187547,,
286,lysterfield south,145.2669745,-37.95250125,Dandenong Station Bus Interchange,6.503973755821075,Dandenong Station,6.512808774817763,,
287,macclesfield,145.4889028,-37.87852915,,,Lakeside Station - Puffing Billy Railway,6.325834809892545,,
288,macedon,144.5559274,-37.42852587,,,Macedon Station,0.8354763300773588,,
289,macleod,145.0698726,-37.72046648,Latrobe Bus Interchange,2.3237861818795538,Macleod Station,0.6286947846266603,,
290,maddingley,144.42715249999998,-37.69422999,Gell St Bus Stop,2.3327726813579837,Bacchus Marsh Station,1.1853994152677034,,
291,maidstone,144.87415190000002,-37.78192436,Sunshine Bus Interchange,3.7134456342068054,Tottenham Station,2.143293382021521,Tram Stop D18,7.359753254693293
292,main ridge,144.96661909999997,-38.40029252,Bus Stop ID 12697 (788),7.514265108755673,East Creek Miniature Railway,9.69231259067236,,
293,malvern,145.0350548,-37.85762708,SmartBus Terminus Caulfield Station,2.3039995476236714,Tooronga Station,1.078298882995957,Tram Stop 29,3.4387574483875394
294,malvern east,145.06576769999998,-37.87682395,Monash Caulfield Bus,1.890066259448607,East Malvern Station,0.31528719226900825,Tram Stop 29,6.502055608171226
295,maribyrnong,144.8877529,-37.77270532,Moonee Ponds Junction Bus Stop,3.3212555325153206,Flemington Racecourse Station,2.3506008888660594,Tram Stop D18,7.155656502893471
296,marysville,145.7472699,-37.51198995,,,,,,
297,mccrae,144.9337677,-38.36002189,Bus Stop 13175,1.378104075281469,,,,
298,mckinnon,145.0382061,-37.91065932,Bus Interchange - Moorabbin Station,2.7253271838727846,McKinnon Station,0.030017409943184564,,
299,mcmahons creek,145.97609599999998,-37.65128675,,,,,,
300,meadow heights,144.9185206,-37.65116794,Broadmeadows Station Bus Interchange,3.5176965385554233,Coolaroo Station,1.2697272020804986,,
301,melbourne,144.9722725,-37.822624,Federation Square Bus Depot,0.6537657042436683,Flinders Street Station,0.695199868363158,Tram Stop 13 - Federation Square (3/3a/5/6/16/64/67/72),0.627085512353357
302,melbourne airport,144.83653569999998,-37.676438700000006,Bus Stop 47997 - Melbourne Airport (901),1.2116220180461281,Watergardens Station,6.158016582784824,,
303,melton,144.5889302,-37.68409339,Woodgrove Bus Stop,2.16254254432683,Melton Station,2.5902448644323353,,
304,melton south,144.5876861,-37.72058572,Woodgrove Bus Stop,4.438875288527178,Melton Station,2.3533833576928416,,
305,melton west,144.5425878,-37.66487372,Woodgrove Bus Stop,2.9602946080386774,Melton Station,5.002530146149941,,
306,mentone,145.06899140000002,-37.98166949,Westfield  Southland Bus Interchange,2.9939878966790117,Mentone Station,0.352036089986014,,
307,menzies creek,145.401304,-37.92368169,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),4.349049125653697,Menzies Creek Puffing Billy Station,0.46506966466493027,,
308,mernda,145.0818941,-37.59215878,,,Mernda Station,2.02904465445669,,
309,merricks north,145.0767303,-38.34518457,,,Morradoo Station,9.951688537070517,,
310,merrimu,144.47723019999998,-37.65713042,Woodgrove Bus Stop,8.297589144589523,Bacchus Marsh Station,4.860552338062598,,
311,mickleham,144.9020121,-37.53662484,Ned Kelly Junction,5.863459728226639,Donnybrook Station,6.051712450012011,,
312,middle park,144.9620404,-37.85114609,Federation Square Bus Depot,3.8590151050920842,Prahran Station,2.4677609941662224,Tram Stop 20 @ Park Street,2.3827227429937587
313,mill park,145.064468,-37.66397499,Bus Stop 10838,5.719195974577728,South Morang Station,1.6997771299302091,,
314,millgrove,145.6547294,-37.7530915,Coach Parking,4.399572242794921,Yarra Junction Station,5.28975599523873,,
315,mitcham,145.19904509999998,-37.81816167,Ringwood Station Bus Interchange,2.682801242334425,Mitcham Station,0.5065884631535792,,
316,monbulk,145.4284925,-37.87415035,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),7.562254839843132,Menzies Creek Puffing Billy Station,5.572705570751561,,
317,monegeetta,144.80536180000001,-37.39688644,,,,,,
318,mont albert,145.1075325,-37.81754718,Box Hill Bus Station,1.3236455586506974,Mont Albert Station,0.29835187509595135,Tram Stop 29,7.272668097776068
319,mont albert north,145.11089840000002,-37.80355576,Doncaster Park And Ride,1.7093642715768145,Mont Albert Station,1.8482653229530164,Tram Stop 29,7.943336544943256
320,montmorency,145.1253152,-37.71897276,Main Street Bus Stops,2.359589645707849,Montmorency Station,0.5022164315038254,,
321,montrose,145.3479256,-37.81115585,Lilydale Station Bus Terminus,6.063068595990677,"mooroolbark station, platform 1",4.271126430730718,,
322,moonee ponds,144.921483,-37.76564954,Moonee Ponds Junction Bus Stop,0.2981181067561972,Moonee Ponds Station,0.20248027388901466,Tram Stop 8 - Melbourne Central Station/State Library,6.19263675982084
323,moorabbin,145.05781059999998,-37.94146082,Westfield  Southland Bus Interchange,1.8428046129436404,Highett Station,1.5859827685048868,,
324,moorabbin airport,145.0995597,-37.97747032,Westfield  Southland Bus Interchange,4.61308609007781,Parkdale Station,2.6780236978153726,,
325,moorooduc,145.1190349,-38.24698678,,,Somerville Station,5.5346005702630645,,
326,mooroolbark,145.3257059,-37.78136491,Lilydale Station Bus Terminus,3.3323712328840647,"mooroolbark station, platform 1",1.234274016163041,,
327,mordialloc,145.09614530000002,-37.99942253,Westfield  Southland Bus Interchange,5.963922836251975,Mordialloc Station,1.099541503763249,,
328,mornington,145.0602598,-38.23042889,Bus Stop Surrey St/Main St,1.4428539330450245,Tanti Station - Mornington Railway,0.41454963061229266,,
329,mount cottrell,144.6556794,-37.78913174,,,Rockbank Station,6.685306661116113,,
330,mount dandenong,145.35508810000002,-37.83213536,Lilydale Station Bus Terminus,8.421482087512148,"mooroolbark station, platform 1",6.446539093309033,,
331,mount eliza,145.09285569999997,-38.19505,フランクストン駅バスターミナル (Frankston Station Bus Interchange),6.487731967608005,Leawarra Station,6.286757802303935,,
332,mount evelyn,145.38818999999998,-37.78726608,Lilydale Station Bus Terminus,4.982349331262608,Lilydale Station,5.0010031730502185,,
333,mount macedon,144.5931926,-37.39297783,,,Macedon Station,4.327035546059334,,
334,mount martha,145.0307727,-38.27541622,Bus Stop Surrey St/Main St,5.390783713902196,Tanti Station - Mornington Railway,6.032909814646858,,
335,mount waverley,145.1284759,-37.87840925,Glen Waverley Bus Interchange,3.028291317689478,Mount Waverley Station,0.34882235754119084,,
336,mulgrave,145.1759481,-37.92574092,Waverley Gardens Bus Interchange,1.5392076311170835,Springvale Station,3.2866772155853625,,
337,murrumbeena,145.0703594,-37.8968573,Chadstone Bus Interchange,1.5377799708898519,Hughesdale Station,0.6706664054942463,,
338,myrniong,144.35005869999998,-37.62015118,Gell St Bus Stop,9.830446715162198,,,,
339,narbethong,145.7221611,-37.51093608,,,,,,
340,narre warren,145.30592080000002,-38.01796652,Fountain Gate Bus Interchange,0.28249900462897276,Narre Warren Station,1.09962518070869,,
341,narre warren east,145.3337194,-37.95254489,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),5.118350154440886,Tecoma Station,4.991373928824085,,
342,narre warren north,145.31276499999998,-37.98136361,Fountain Gate Bus Interchange,4.313339983440728,Narre Warren Station,5.205331622490433,,
343,narre warren south,145.301909,-38.05438011,Fountain Gate Bus Interchange,3.873236241630976,Narre Warren Station,2.967480512130338,,
344,new gisborne,144.615309,-37.45239944,,,Gisborne Station,1.644453571442623,,
345,newham,144.603678,-37.29959781,,,Woodend Train Station,9.537396725021603,,
346,newport,144.8803477,-37.843689700000006,Newport Interchange,0.22235669491238313,Newport Station,0.2959738718613955,Tram Stop D18,5.979082606882045
347,niddrie,144.88481399999998,-37.73978396,Tram Stop 37,4.182679188950518,Glenbervie Station,3.2652855897939967,,
348,noble park,145.17670080000002,-37.96955909,Dandenong Station Bus Interchange,3.6583575169840143,Noble Park Station,0.2322036926025859,,
349,noble park north,145.1908219,-37.95119131,Waverley Gardens Bus Interchange,1.734197217629824,Noble Park Station,2.169144386632326,,
350,north melbourne,144.9451553,-37.7985244,Firefly Coaches,2.022429734676296,Macaulay Station,0.9011066331432468,Tram Stop 8 - Melbourne Central Station/State Library,2.1012042929624246
351,north warrandyte,145.21553469999998,-37.72580355,The Pines Bus Interchange,5.847522214052937,Eltham Station,6.126286963558367,,
352,northcote,145.0010249,-37.77284,Clifton Hill Interchange,1.5891167535402888,Northcote Station,0.6108374506020633,Tram Stop 8 - Melbourne Central Station/State Library,5.252171102227465
353,notting hill,145.14558689999998,-37.90559651,Monash University Bus Interchange,1.5247647803989768,Clayton Station,3.0525374258251654,,
354,nunawading,145.17652569999998,-37.81735478,Eastern Fwy/M'borough Rd Bus Stop,3.6960183984112356,Nunawading Station,0.3797899797470392,,
355,nutfield,145.1854732,-37.60213216,,,Hurstbridge Station,4.205110448694208,,
356,oak park,144.91709699999998,-37.71761025,Broadmeadows Station Bus Interchange,3.86063828381576,Oak Park Station,0.3940047844952674,,
357,oaklands junction,144.8537672,-37.60540770000001,SkyBus T1 Bus Stop,7.132837603882538,Craigieburn Station,7.8763427629819684,,
358,oakleigh,145.0957033,-37.90067509,Oakleigh Station Bus Interchange,0.664230268939127,Oakleigh Station,0.6665852959210908,,
359,oakleigh east,145.1153419,-37.9039678,Princes Hwy Bus Stop Id 1549 McD,1.4629395632038618,Huntingdale Station,1.3511077047989275,,
360,oakleigh south,145.09420749999998,-37.92442924,Huntingdale Station Bus Stop (Stop ID 22440),1.660560366661169,Huntingdale Station,1.6633125275208485,,
361,officer,145.4114104,-38.05427126,Berwick Station Bus Interchange,6.079199353144155,Officer Station,1.3257754504885246,,
362,olinda,145.38548459999998,-37.84372724,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),7.790507288708845,Belgrave Puffing Billy Station,7.507863154462883,,
363,ormond,145.04141299999998,-37.9038867,SmartBus Terminus Caulfield Station,2.9482047391907584,Ormond Station,0.18172721485135615,,
364,pakenham,145.4848312,-38.07343207,,,Pakenham Station,0.7618534037774665,,
365,pakenham south,145.4927613,-38.13862053,Koo Wee Rup Clock Tower,6.799456654153648,Pakenham Station,6.507318356461638,,
366,pakenham upper,145.50765619999999,-38.00777658,,,Gembrook Station,7.201083155621424,,
367,panton hill,145.2476744,-37.64425724,,,Hurstbridge Railway Sidings,4.881917033422746,,
368,park orchards,145.21465619999998,-37.77689019,The Pines Bus Interchange,4.3633776240368185,Ringwood Station,4.479805486484599,,
369,parkdale,145.0812549,-37.99190326,Westfield  Southland Bus Interchange,4.518414810909465,Parkdale Station,0.436423476501927,,
370,parkville,144.9515524,-37.78706543,Firefly Coaches,3.180471915425028,Royal Park Station,0.6533157289794049,Tram Stop 8 - Melbourne Central Station/State Library,2.7768539315834544
371,parwan,144.444221,-37.77267974,,,Bacchus Marsh Station,9.445547294956869,,
372,pascoe vale,144.9379376,-37.72504773,Bus Stop 2463,3.1593842636738594,Pascoe Vale Station,1.0684396459391337,,
373,pascoe vale south,144.9384779,-37.74343203,Tram Stop 37,1.9349513099914488,Strathmore Station,1.0116827244379158,Tram Stop 8 - Melbourne Central Station/State Library,7.727236000058153
374,patterson lakes,145.1432514,-38.069426299999996,Kananook Station Bus Stop,5.787221935182758,Carrum Station,1.9275809834389974,,
375,pearcedale,145.2421548,-38.20158970000001,,,Somerville Station,6.366576943861736,,
376,pheasant creek,145.2745039,-37.45368374,Kinglake West Vline Bus Stop,3.612609579510883,,,,
377,plenty,145.1124186,-37.66741939,Main Street Bus Stops,4.056501142548044,Diamond Creek Station,4.09108618934181,,
378,plumpton,144.6908291,-37.68697935,,,Rockbank Station,5.811661946196038,,
379,point cook,144.7532575,-37.90648838,Werribee Station Bus Interchange,8.189424822018745,Williams Landing Station,4.089378575071903,,
380,point leo,145.0693983,-38.41501931,,,East Creek Miniature Railway,0.5977751909689517,,
381,port melbourne,144.92225439999999,-37.83320502,Southern Cross Station Coach Terminal,3.2480473129989527,Southern Cross Station,3.142702944053896,Tram Stop D18,2.2055264239917842
382,portsea,144.7004675,-38.32284425,Bus to Conti!,1.289499448758339,Queenscliff Station - Bellarine Peninsula Railway,7.331470169638547,,
383,powelltown,145.74760419999998,-37.86246798,,,,,,
384,prahran,145.0005947,-37.8518848,SmartBus Terminus Caulfield Station,4.694104090947944,Hawksburn Station,0.8033293397942489,Tram Stop 20 @ Park Street,3.4770880377179547
385,preston,145.0078238,-37.74191979,Bus Stop 2463,3.565413846795001,Preston Station,0.7349849640198443,Tram Stop 8 - Melbourne Central Station/State Library,8.48162012012832
386,princes hill,144.9665361,-37.78185202,Clifton Hill Interchange,2.4759643282369046,Tram Stop 115 (melbourne general cemetary east),0.8686917946259911,Tram Stop 8 - Melbourne Central Station/State Library,3.132506240373062
387,ravenhall,144.7447852,-37.78792385,Alfrieda Street Bus Terminus,6.951371568280955,Caroline Springs Station,2.4607781642345468,,
388,red hill,145.01596,-38.36330674,Bus Stop ID 12697 (788),10.0272848501597,East Creek Miniature Railway,7.957693481606478,,
389,red hill south,145.0461877,-38.40118994,,,East Creek Miniature Railway,3.1360475136259542,,
390,research,145.1890477,-37.70658238,The Pines Bus Interchange,6.507587207386663,Eltham Station,3.717243412703678,,
391,reservoir,145.0069134,-37.71235511,Latrobe Bus Interchange,3.2998428455213253,Reservoir Station,0.4814883483393822,,
392,richmond,145.002492,-37.8203963,Federation Square Bus Depot,2.872487712883022,East Richmond Station,0.8166842145843924,Tram Stop 29,2.206139819075324
393,riddells creek,144.6777093,-37.43828545,Bus Stop,9.332687116425797,Riddells Creek Station,2.9717017696424874,,
394,ringwood,145.23346619999998,-37.81137062,Ringwood Station Bus Interchange,0.5739364667518944,Ringwood Station,0.6153043584532826,,
395,ringwood east,145.25303449999998,-37.81315599,Ringwood Station Bus Interchange,2.1034231224241533,Ringwood East Station,0.2943130541766521,,
396,ringwood north,145.23119340000002,-37.79301952,Ringwood Station Bus Interchange,2.484327946374624,Ringwood Station,2.5159359578640093,,
397,ripponlea,144.9952712,-37.87781376,SmartBus Terminus Caulfield Station,4.214764307257709,Ripponlea Station,0.19661429333552738,Tram Stop 20 @ Park Street,5.6162883450081855
398,rockbank,144.65758730000002,-37.7250125,Woodgrove Bus Stop,9.331359720778739,Rockbank Station,0.6955612995084891,,
399,romsey,144.7283157,-37.3523401,,,,,,
400,rosanna,145.0696366,-37.73956398,Bulleen Terminus,4.289580242838864,Rosanna Station,0.4752324639597485,,
401,rosebud,144.90947749999998,-38.37099603,Bus Stop 13175,3.036467271665399,,,,
402,rosebud west,144.8755369,-38.37374692,Bus Stop 13175,5.4460141529001085,,,,
403,rowsley,144.34072340000003,-37.76941174,,,,,,
404,rowville,145.24480400000002,-37.92390539,Ferntree Gully Road,2.959533398193949,Ferntree Gully Station,6.4608488630296215,,
405,roxburgh park,144.925567,-37.62578078,Broadmeadows Station Bus Interchange,6.361667814232942,Roxburgh Park Station,1.6086571161225167,,
406,rye,144.80991880000002,-38.38218183,Bus Stop ID 12697 (788),8.524740809994116,,,,
407,safety beach,145.00023240000002,-38.31534002,Bus Stop ID 12697 (788),9.73108094366513,,,,
408,sandhurst,145.20868180000002,-38.08211547,Kananook Station Bus Stop,7.769898631746314,Lynbrook Station,4.418650942124226,,
409,sandringham,145.01381469999998,-37.95332016,Bus Interchange - Moorabbin Station,2.8571127847251625,Sandringham Station,0.9108193278664124,Tram Stop 139,9.829711207500038
410,sassafras,145.3568788,-37.86780632,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),4.648098471463297,Belgrave Puffing Billy Station,4.3960298134507765,,
411,scoresby,145.21828,-37.90257564,Ferntree Gully Road,1.3051013938543299,Glen Waverley Station,5.502996405398777,,
412,seabrook,144.75867380000003,-37.88093452,Werribee Station Bus Interchange,8.847123094307866,Aircraft Station,1.5564224784344727,,
413,seaford,145.138402,-38.10484716,Kananook Station Bus Stop,1.8340359458149742,Seaford Station,0.9006414780239936,,
414,seaholme,144.84514319999997,-37.86396261,Newport Interchange,4.051472981984675,Seaholme Station,0.5518495064227676,Tram Stop D18,9.766085383421542
415,seddon,144.8916288,-37.80677066,Yarraville Bus Depot,1.0747860576084665,Seddon Station,0.43280758138669906,Tram Stop D18,4.687876805653091
416,selby,145.378423,-37.91872123,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),2.2826558303031823,Selby Station - Puffing Billy Railway,0.8210636980106516,,
417,seville,145.4755313,-37.79263791,Bus Stop 8922 - Five Ways,9.981717868851835,,,,
418,seville east,145.5031747,-37.77857591,Cairncroft Avenue Bus Stop,5.476706741353121,Yarra Junction Station,8.765585462583026,,
419,sherbrooke,145.3648706,-37.89120132,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),2.221052405493598,Belgrave Puffing Billy Station,1.9366861822379833,,
420,shoreham,145.0516917,-38.42443842,,,East Creek Miniature Railway,2.201440380970664,,
421,silvan,145.444445,-37.83416534,,,,,,
422,skye,145.21633830000002,-38.10503997,Kananook Station Bus Stop,7.340282896835995,Merinda Park Station,5.0305967145589925,,
423,smiths gully,145.2883093,-37.62698748,Strathy Bus Stop,8.933425427936236,Hurstbridge Railway Sidings,8.562724605857662,,
424,somers,145.1726183,-38.39230121,,,Crib Point Station,4.040351090031491,,
425,somerville,145.1981231,-38.2327704,,,Somerville Station,2.105562905567805,,
426,sorrento,144.7420688,-38.34472269,Bus to Conti!,3.1838693347945712,,,,
427,south kingsville,144.87103069999998,-37.83023593,Newport Interchange,1.6928225180596945,Newport Station,1.78630158067724,Tram Stop D18,6.321047264991181
428,south melbourne,144.9569722,-37.83347256,SkyBus Terminal,1.937126505403049,Southern Cross Station,1.715536128605915,Tram Stop 20 @ Park Street,1.2843251069439443
429,south morang,145.08365700000002,-37.63168106,Main Street Bus Stops,8.246757798950457,South Morang Station,2.3570795283234935,,
430,south wharf,144.9494054,-37.825361799999996,Southern Cross Station Coach Terminal,1.0411370945534895,Southern Cross Station,0.8251274608632116,Tram Stop D18,0.8358724523143289
431,south yarra,144.9914825,-37.83920603,Federation Square Bus Depot,3.1003752855565656,South Yarra Station,0.08887097479787613,Tram Stop 20 @ Park Street,2.0061901051688165
432,southbank,144.9642691,-37.82527864,Federation Square Bus Depot,1.0569318250303998,Flinders Street Station,0.8056291659671948,Tram Stop 13 - Federation Square (3/3a/5/6/16/64/67/72),0.8433607005446477
433,spotswood,144.88797240000002,-37.82998945,Newport Interchange,1.475712605631803,Newport Station,1.484390727394779,Tram Stop D18,4.850517803002762
434,springvale,145.1578294,-37.94570636,Waverley Gardens Bus Interchange,2.883620863739392,Springvale Station,0.5676631616274729,,
435,springvale south,145.14786819999998,-37.97083566,Waverley Gardens Bus Interchange,5.263592066291504,Sandown Park Station,2.055755491325733,,
436,st albans,144.8049753,-37.74509368,Alfrieda Street Bus Terminus,0.4163023066248936,St Albans Station,0.46863315384980647,,
437,st andrews,145.28739140000002,-37.58324285,Strathy Bus Stop,4.273408468936015,,,,
438,st andrews beach,144.83111780000002,-38.41997245,Bus Stop ID 12697 (788),9.401886745653707,,,,
439,st helena,145.12948740000002,-37.68953561,Main Street Bus Stops,2.5492768840399638,Greensborough Station,2.4796306930531187,,
440,st kilda,144.98159840000002,-37.86378606,Federation Square Bus Depot,5.292072747150539,Balaclava Station,1.2076728728922959,Tram Stop 20 @ Park Street,3.757747134800037
441,st kilda east,145.0021447,-37.86680573,SmartBus Terminus Caulfield Station,3.7953879959814465,Balaclava Station,0.7977343825983958,Tram Stop 20 @ Park Street,4.82213507715164
442,st kilda west,144.9712179,-37.85800942,Federation Square Bus Depot,4.55509709834238,Windsor Station,1.8430862507191494,Tram Stop 20 @ Park Street,3.0036427685773965
